name,season,name2,precision,name3,m_i,name4,l_r,name5,m_d
SEASON:,0,precision:,0.6666666666666666,best mi:,3,best lr:,0.39,best md:,3
SEASON:,1,precision:,0.7333333333333333,best mi:,15,best lr:,0.46,best md:,2
SEASON:,2,precision:,0.6666666666666666,best mi:,13,best lr:,0.21,best md:,2
SEASON:,3,precision:,0.7333333333333333,best mi:,10,best lr:,0.28,best md:,3
SEASON:,4,precision:,0.7333333333333333,best mi:,7,best lr:,0.39,best md:,2
SEASON:,5,precision:,0.8,best mi:,9,best lr:,0.36,best md:,1
SEASON:,6,precision:,0.6666666666666666,best mi:,10,best lr:,0.28,best md:,4
SEASON:,7,precision:,0.7333333333333333,best mi:,29,best lr:,0.64,best md:,3
SEASON:,8,precision:,0.7333333333333333,best mi:,14,best lr:,0.38,best md:,1
SEASON:,9,precision:,0.7333333333333333,best mi:,10,best lr:,0.35,best md:,1
SEASON:,10,precision:,0.6,best mi:,6,best lr:,0.18,best md:,1
SEASON:,11,precision:,0.7333333333333333,best mi:,14,best lr:,0.39,best md:,1
SEASON:,12,precision:,0.6666666666666666,best mi:,6,best lr:,0.57,best md:,2
SEASON:,13,precision:,0.7333333333333333,best mi:,8,best lr:,0.24,best md:,4
SEASON:,14,precision:,0.6666666666666666,best mi:,4,best lr:,0.2,best md:,2
SEASON:,15,precision:,0.6666666666666666,best mi:,21,best lr:,0.58,best md:,4
SEASON:,16,precision:,0.7333333333333333,best mi:,30,best lr:,0.64,best md:,3
SEASON:,17,precision:,0.7333333333333333,best mi:,9,best lr:,0.56,best md:,5
SEASON:,18,precision:,0.6,best mi:,2,best lr:,0.25,best md:,2
SEASON:,19,precision:,0.7333333333333333,best mi:,11,best lr:,0.55,best md:,1
SEASON:,20,precision:,0.6666666666666666,best mi:,31,best lr:,0.61,best md:,1
SEASON:,21,precision:,0.5333333333333333,best mi:,13,best lr:,0.28,best md:,4
SEASON:,22,precision:,0.6666666666666666,best mi:,6,best lr:,0.63,best md:,2
SEASON:,23,precision:,0.8666666666666667,best mi:,18,best lr:,0.17,best md:,2
SEASON:,24,precision:,0.8,best mi:,16,best lr:,0.4,best md:,5
SEASON:,25,precision:,0.6,best mi:,3,best lr:,0.33,best md:,3
SEASON:,26,precision:,0.6,best mi:,9,best lr:,0.64,best md:,2
SEASON:,27,precision:,0.7333333333333333,best mi:,5,best lr:,0.28,best md:,2
SEASON:,28,precision:,0.8,best mi:,6,best lr:,0.69,best md:,3
SEASON:,29,precision:,0.7333333333333333,best mi:,12,best lr:,0.65,best md:,1
SEASON:,30,precision:,0.6666666666666666,best mi:,7,best lr:,0.69,best md:,2
SEASON:,31,precision:,0.7333333333333333,best mi:,8,best lr:,0.4,best md:,2
SEASON:,32,precision:,0.6666666666666666,best mi:,8,best lr:,0.57,best md:,2
SEASON:,33,precision:,0.8,best mi:,6,best lr:,0.5,best md:,3
SEASON:,34,precision:,0.8,best mi:,100,best lr:,0.1,best md:,7